Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
2000,55,Belgium,0,2,3,5,Belgium,Belgium,Belgium,28531.0,10136811.0,6703399.0
2000,55,South Africa,0,2,3,5,South Africa,South Africa,South Africa,3904.0,44541554.0,25975756.0
2000,49,Croatia,1,0,1,2,Croatia,Croatia,Croatia,4710.0,4620030.0,3154495.0
2000,42,Algeria,1,1,3,5,Algeria,Algeria,Algeria,1474.0,28470191.0,16274494.0
2000,43,Uzbekistan,1,1,2,4,Uzbekistan,Uzbekistan,Uzbekistan,703.0,22917589.0,12922700.0
2000,44,Latvia,1,1,1,3,Latvia,Latvia,Latvia,2104.0,2485056.0,1632448.0
2000,46,New Zealand,1,0,3,4,New Zealand,New Zealand,New Zealand,17189.0,3673400.0,2403555.0
2000,61,Trinidad and Tobago,0,1,1,2,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,4301.0,1295169.0,836353.0
2000,64,Ireland,0,1,0,1,Ireland,Ireland,Ireland,19316.0,3608841.0,2324104.0
2000,50,Cameroon,1,0,0,1,Cameroon,Cameroon,Cameroon,822.0,13058516.0,6611367.0
2000,50,Colombia,1,0,0,1,Colombia,Colombia,Colombia,3046.0,35804662.0,21981200.0
2000,50,Mozambique,1,0,0,1,Mozambique,Mozambique,Mozambique,196.0,15960530.0,8316221.0
2000,53,Brazil,0,6,6,12,Brazil,Brazil,Brazil,4781.0,161735073.0,101167654.0
2000,54,Jamaica,0,6,3,9,Jamaica,Jamaica,Jamaica,2621.0,2500151.0,1457214.0
2000,31,Finland,2,1,1,4,Finland,Finland,Finland,26270.0,5107790.0,3409669.0
2000,32,Austria,2,1,0,3,Austria,Austria,Austria,30332.0,7948278.0,5328594.0
2000,29,Kenya,2,3,2,7,Kenya,Kenya,Kenya,547.0,26601751.0,13323165.0
2000,18,Sweden,4,5,3,12,Sweden,Sweden,Sweden,30520.0,8826939.0,5621611.0
2000,19,Norway,4,3,3,10,Norway,Norway,Norway,34875.0,4359184.0,2815261.0
2000,20,Ethiopia,4,1,3,8,Ethiopia,Ethiopia,Ethiopia,132.0,57537335.0,29114955.0
2000,30,Denmark,2,3,1,6,Denmark,Denmark,Denmark,35339.0,5233373.0,3525949.0
2000,23,Belarus,3,3,11,17,Belarus,Belarus,Belarus,1369.0,10193831.0,6700380.0
2000,24,Canada,3,3,8,14,Canada,Canada,Canada,20688.0,29302311.0,19816807.0
2000,17,Greece,4,6,3,13,Greece,Greece,Greece,12760.0,10562153.0,7092061.0
2000,9,Cuba,11,11,7,29,Cuba,Cuba,Cuba,2785.0,10925362.0,7542560.0
2000,10,Great Britain,11,10,7,28,Great Britain,United Kingdom,United Kingdom,23206.0,58019030.0,37429998.0
2000,4,Australia,16,25,17,58,Australia,Australia,Australia,21780.0,18004882.0,11994523.0
2000,2,Russia,32,28,29,89,Russia,Russian Federation,Russian Federation,2708.0,148375787.0,99339855.0
2000,13,Hungary,8,6,3,17,Hungary,Hungary,Hungary,4497.0,10328965.0,6985555.0
2000,16,Bulgaria,5,6,2,13,Bulgaria,Bulgaria,Bulgaria,2240.0,8406067.0,5632322.0
2000,15,Japan,5,8,5,18,Japan,Japan,Japan,44211.0,125472000.0,87457274.0
2000,22,Kazakhstan,3,4,0,7,Kazakhstan,Kazakhstan,Kazakhstan,1251.0,16730536.0,10531684.0
2000,21,Ukraine,3,10,10,23,Ukraine,Ukraine,Ukraine,987.0,51665539.0,34140299.0
2000,14,Poland,6,5,3,14,Poland,Poland,Poland,3705.0,38594998.0,25490654.0
2000,11,Romania,11,6,9,26,Romania,Romania,Romania,1661.0,22684270.0,15306677.0
